test_name,n,TP,TN,FP,FN
mptcp,280471357,2845418,277625939,0,0
mptcp_lee_delta_0_min_no_max_no,280396471,2844655,264101800,13450016,0
mptcp_lee_delta_0_min_no_max_yes,280396471,2844655,265925128,11626688,0
mptcp_lee_delta_0_min_yes_max_no,280396471,2844655,277492693,59123,0
mptcp_lee_delta_0_min_yes_max_yes,280396471,2844655,277551816,0,0
mptcp_lee_delta_1_min_no_max_no,280396471,2825330,270026887,7524929,19325
mptcp_lee_delta_1_min_no_max_yes,280396471,2825330,270717127,6834689,19325
mptcp_lee_delta_1_min_yes_max_no,280396471,2825330,277522115,29701,19325
mptcp_lee_delta_1_min_yes_max_yes,280396471,2825330,277551816,0,19325
mptcp_lee_delta_60_min_no_max_no,280396471,2843603,269619054,7932762,1052
mptcp_lee_delta_60_min_no_max_yes,280396471,2843603,270309294,7242522,1052
mptcp_lee_delta_60_min_yes_max_no,280396471,2843603,277522115,29701,1052
mptcp_lee_delta_60_min_yes_max_yes,280396471,2843603,277551816,0,1052
mptcp_lukashin,280410127,1029603,277559648,5686,1815190
